City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
Magadan,80,RU,1549258794,5.8,15.79,59.56,150.8,100
Mataura,88,NZ,1549258592,71.18,21.83,-46.19,168.86,53
Rikitea,12,PF,1549258575,81.85,7.74,-23.12,-134.97,99
Bambous Virieux,40,MU,1549256400,86,11.41,-20.34,57.76,79
Punta Arenas,0,CL,1549256400,57.2,12.75,-53.16,-70.91,67
Hermanus,92,ZA,1549258602,63.31,3.49,-34.42,19.24,98
Clonakilty,75,IE,1549256400,44.6,6.93,51.62,-8.87,93
Port Alfred,32,ZA,1549258574,70.28,14.45,-33.59,26.89,86
Esperance,20,TT,1549256400,73.4,5.06,10.24,-61.45,83
Hilo,90,US,1549255980,71.96,11.21,19.71,-155.08,84
Mount Isa,90,AU,1549256940,77,19.46,-20.73,139.49,88
Hasaki,0,JP,1549256400,64.4,16.11,35.73,140.83,27
Shache,0,CN,1549258797,36.31,3.71,38.42,77.24,51
Mahebourg,40,MU,1549256400,86,11.41,-20.41,57.7,79
Rabat,0,MA,1549256400,42.8,2.24,34.02,-6.83,80
Bluff,92,AU,1549258583,85.27,15.01,-23.58,149.07,51
Port Elizabeth,90,US,1549258020,33.98,2.93,39.31,-74.98,100
Dong Hoi,48,VN,1549258798,75.32,5.61,17.48,106.6,95
Salinas,40,US,1549258200,51.98,6.93,36.67,-121.66,87
Chuy,24,UY,1549258609,63.53,6.51,-33.69,-53.46,87
Shimoda,20,JP,1549256400,64.4,19.46,34.7,138.93,55
Ponta do Sol,36,BR,1549258799,68.48,3.04,-20.63,-46,85
Busselton,0,AU,1549258580,76.85,8.63,-33.64,115.35,76
Balkhash,0,KZ,1549256400,3.2,17.9,46.84,74.98,54
Hobart,20,AU,1549256400,69.8,16.11,-42.88,147.33,56
Dikson,8,RU,1549258618,-9.96,8.97,73.51,80.55,73
Rio Gallegos,0,AR,1549256400,59,2.15,-51.62,-69.22,67
Krasnooktyabrskiy,75,RU,1549256400,37.4,8.95,44.93,38.37,100
Kapaa,75,US,1549256160,75.02,17.22,22.08,-159.32,71
Avarua,90,CK,1549256400,78.8,3.36,-21.21,-159.78,88
Butaritari,56,KI,1549258622,84.05,19.26,3.07,172.79,100
Lompoc,90,US,1549257300,53.06,3.36,34.64,-120.46,85
Surt,8,LY,1549258282,54.53,16.13,31.21,16.59,100
Bredasdorp,92,ZA,1549256400,66.2,5.82,-34.53,20.04,88
Nikolskoye,90,RU,1549256400,33.8,4.47,59.7,30.79,86
Kodiak,75,US,1549256400,55.76,11.41,39.95,-94.76,89
Umm Lajj,0,SA,1549258312,68.57,11.77,25.02,37.27,88
Kendari,80,ID,1549258807,79.78,0.36,-3.99,122.52,97
Pasighat,0,IN,1549258807,69.43,2.04,28.06,95.33,33
New Norfolk,20,AU,1549256400,69.8,16.11,-42.78,147.06,56
Tuktoyaktuk,75,CA,1549256400,-4.01,16.11,69.44,-133.03,70
Ocampo,0,PH,1549258808,81.17,12.21,13.56,123.37,84
Portland,90,US,1549257300,41,5.82,45.52,-122.67,85
Okha,36,RU,1549258624,-4.47,12.77,53.59,142.95,93
Santo Tomas,0,PH,1549258809,86.89,9.53,15.88,120.59,67
Rovaniemi,90,FI,1549257600,1.4,20.8,66.5,25.72,84
Moerai,88,PF,1549258810,81.35,20.83,-22.43,-151.33,96
Cape Town,0,ZA,1549252800,60.8,8.05,-33.93,18.42,100
Constantine,75,DZ,1549256400,37.4,10.29,36.36,6.61,96
Necochea,0,AR,1549258230,48.91,3.04,-38.55,-58.74,100
Snezhnogorsk,0,RU,1549256400,-27.41,2.24,69.19,33.23,60
Tuatapere,48,NZ,1549258585,64.48,20.71,-46.13,167.69,77
Kungurtug,32,RU,1549258812,-9.1,8.52,50.6,97.53,39
Georgetown,75,GY,1549256400,75.2,4.7,6.8,-58.16,94
Saint-Philippe,90,CA,1549256400,23.9,6.93,45.36,-73.48,92
Kyren,20,RU,1549258812,-8.83,2.15,51.68,102.13,41
Ilulissat,0,GL,1549255800,17.6,8.05,69.22,-51.1,37
Mar del Plata,0,AR,1549258595,54.08,2.15,-46.43,-67.52,94
Atuona,64,PF,1549258638,80.63,14.12,-9.8,-139.03,100
Kaitangata,92,NZ,1549258635,72.13,16.24,-46.28,169.85,57
Aksu,0,KZ,1549256400,-20.21,8.95,52.04,76.93,68
Te Anau,64,NZ,1549258653,62.23,14,-45.41,167.72,65
Kavieng,88,PG,1549258815,80.63,7.52,-2.57,150.8,100
Ushuaia,0,AR,1549256400,60.8,13.87,-54.81,-68.31,55
Celestun,8,MX,1549258815,76.67,15.01,20.87,-90.4,90
Los Llanos de Aridane,20,ES,1549256400,60.8,12.75,28.66,-17.92,67
Chapais,90,CA,1549257300,6.8,5.82,49.78,-74.86,84
Calabozo,20,VE,1549258816,78.02,13,8.92,-67.43,52
Nancha,0,CN,1549258816,-3.07,8.19,47.14,129.26,36
Batagay-Alyta,12,RU,1549258817,-37.05,2.71,67.8,130.41,67
Victoria,75,BN,1549256400,86,3.36,5.28,115.24,79
Talnakh,0,RU,1549258603,-25.12,6.06,69.49,88.39,38
San Cristobal,75,EC,1549256400,57.2,2.24,-0.39,-78.55,93
Jamestown,20,AU,1549258596,85.67,13,-33.21,138.6,32
Santa Isabel do Rio Negro,68,BR,1549258819,74.56,3.71,-0.41,-65.02,100
Vostok,32,RU,1549258819,-3.25,9.53,46.45,135.83,47
Luderitz,0,NA,1549258646,59.71,15.12,-26.65,15.16,80
Arraial do Cabo,68,BR,1549258621,75.01,7.96,-22.97,-42.02,97
Khatanga,64,RU,1549258820,-10.59,8.08,71.98,102.47,74
Sungaipenuh,92,ID,1549258820,69.34,0.13,-2.08,101.38,98
Zhicheng,12,CN,1549258821,49.27,3.71,35.04,112.59,66
Tasiilaq,80,GL,1549255800,23,29.97,65.61,-37.64,79
Cidreira,100,BR,1549258658,68.8,7.63,-30.17,-50.22,86
Lebu,0,ET,1549256400,62.6,8.05,8.96,38.73,33
Banjar,24,ID,1549258658,80.95,1.48,-7.37,108.54,88
Bethel,90,US,1549256160,28.04,8.05,60.79,-161.76,100
High Prairie,0,CA,1549258822,-26.16,1.03,55.43,-116.48,75
Mbandaka,68,CD,1549258823,72.76,3.71,0.05,18.26,100
Albany,90,US,1549257540,42.98,11.41,42.65,-73.75,64
Berlevag,0,NO,1549255800,12.2,17.22,70.86,29.09,72
Longyearbyen,75,NO,1549255800,26.6,8.05,78.22,15.63,68
Vaini,0,IN,1549256400,78.8,11.41,15.34,74.49,47
Lampazos de Naranjo,64,MX,1549258824,57.5,1.36,27.02,-100.51,87
Kabompo,0,ZM,1549258825,70.55,4.94,-13.6,24.21,86
Hirara,75,JP,1549256400,75.2,6.93,24.8,125.28,94
Seidu,12,NG,1549258826,72.53,7.4,8.32,4.47,93
Burnie,0,AU,1549258273,71.27,12.55,-41.05,145.91,83
Kenai,90,US,1549257000,24.08,10.29,60.55,-151.26,91
Zhanaozen,20,KZ,1549258826,27.94,7.07,43.35,52.85,79
Ancud,0,CL,1549256400,62.6,5.82,-41.87,-73.83,72
Burla,0,RU,1549258827,-27.51,7.74,53.34,78.33,44
Itarema,92,BR,1549258652,74.6,2.71,-2.92,-39.92,96
Norman Wells,5,CA,1549256400,-23.81,5.82,65.28,-126.83,67
Alofi,8,NU,1549256400,82.4,11.41,-19.06,-169.92,69
Grand Gaube,40,MU,1549256400,86,11.41,-20.01,57.66,79
Nikel,0,NO,1549257600,-16.61,13.87,69.41,30.21,75
Catanzaro,20,IT,1549255800,53.6,13.87,38.91,16.6,71
Xiamen,90,CN,1549256400,62.6,13.42,24.46,118.07,67
Kavaratti,0,IN,1549258829,83.11,11.21,10.57,72.64,100
East London,0,ZA,1549256400,69.8,12.75,-33.02,27.91,83
Narsaq,64,GL,1549255800,19.4,2.24,60.91,-46.05,73
Thompson,5,CA,1549256400,-22.01,5.82,55.74,-97.86,67
Yenagoa,36,NG,1549258830,73.93,3.6,4.92,6.26,93
Yatou,12,CM,1549258831,82.21,8.63,3.63,9.81,100
Nuevo Progreso,90,US,1549257300,73.04,6.93,26.05,-97.95,93
Yerbogachen,8,RU,1549258831,-35.34,3.6,61.28,108.01,65
Airai,64,TL,1549258832,80.14,2.15,-8.93,125.41,72
Barrow,0,AR,1549258592,52.15,5.17,-38.31,-60.23,87
Qaanaaq,0,GL,1549258621,-19.23,2.59,77.48,-69.36,82
Bongandanga,68,CD,1549258832,71.45,4.05,1.51,21.07,95
Viedma,0,AR,1549258314,59.26,8.63,-40.81,-62.99,75
Carnarvon,0,ZA,1549258833,56.78,10.76,-30.97,22.13,81
Ballina,32,IE,1549258833,41.03,17.47,54.11,-9.15,94
Sola,75,NO,1549257600,37.4,12.75,58.89,5.65,93
Dandong,0,CN,1549258834,27.08,4.05,40.12,124.37,33
Constitucion,0,MX,1549258834,45.98,4.38,23.99,-104.67,56
Carballo,75,ES,1549256400,48.2,10.29,43.21,-8.69,76
Ilinskiy,90,RU,1549256400,33.8,4.47,55.62,38.12,100
Kahului,75,US,1549256160,73.94,9.17,20.89,-156.47,78
Dingle,0,PH,1549258836,86.98,16.69,11,122.67,53
Pisco,90,PE,1549256400,73.4,11.41,-13.71,-76.2,94
Stokmarknes,20,NO,1549257600,28.4,31.09,68.56,14.91,58
Santa Rosa,0,AR,1549258562,58.58,8.41,-36.62,-64.29,63
Isakly,88,RU,1549258839,13.4,4.16,54.13,51.53,88
Sfantu Gheorghe,68,RO,1549256400,39.2,4.7,44.65,26.83,100
College,90,US,1549256280,10.04,4.61,64.86,-147.8,87
Puerto del Rosario,0,ES,1549256400,62.6,17.22,28.5,-13.86,77
Beringovskiy,64,RU,1549258841,29.11,17.69,63.05,179.32,86
Broome,92,GB,1549257600,42.8,17.22,52.47,1.45,87
Bungu,0,TZ,1549258842,82.48,3.38,-7.63,39.06,83
Hambantota,75,LK,1549253400,82.4,13.87,6.12,81.12,83
Conde,88,BR,1549258784,78.38,6.73,-11.81,-37.61,95
Alba,0,IT,1549257600,32,2.24,44.69,8.03,76
Palmer,90,US,1549256880,21.92,11.41,61.6,-149.11,84
Obo,20,CF,1549258843,78.2,10.98,5.39,26.49,49
Ekuvukeni,48,ZA,1549258844,63.62,3.49,-28.47,30.16,95
Beira,75,ES,1549256400,48.2,10.29,43.2,-8.36,76
Udachnyy,20,RU,1549258845,-15.72,6.51,66.42,112.4,68
Isla Vista,90,US,1549257300,53.96,3.36,34.41,-119.86,93
Gull Lake,90,CA,1549256400,-14.81,6.93,50.1,-108.48,68
Upernavik,12,GL,1549258845,1.12,1.36,72.79,-56.15,100
Tigil,76,RU,1549258845,11.15,7.63,57.8,158.67,76
Kaeo,92,NZ,1549258846,71.5,13.11,-35.1,173.78,74
Iqaluit,90,CA,1549256400,-0.41,3.36,63.75,-68.52,84
Clyde River,1,CA,1549257240,-11.21,24.16,70.47,-68.59,83
Buala,88,SB,1549258847,79.24,3.04,-8.15,159.59,100
Gravdal,75,NO,1549257600,37.4,10.29,59.79,5.78,100
Mackay,90,CA,1549256400,-18.41,4.7,53.65,-115.58,68
Rameswaram,88,IN,1549258848,77.8,18.81,9.28,79.3,100
Kattivakkam,40,IN,1549256400,84.2,8.05,13.22,80.32,70
Bereda,75,ES,1549256400,48.2,10.29,43.27,-7.54,76
Tommot,56,RU,1549258849,-31.2,5.61,58.97,126.27,49
Port-Gentil,64,GA,1549258258,78.61,6.4,-0.72,8.78,100
Caravelas,24,BR,1549258849,81.62,17.58,-17.73,-39.27,100
Castro,0,CL,1549256400,62.6,5.82,-42.48,-73.76,72
Kruisfontein,88,ZA,1549258636,69.07,13.11,-34,24.73,96
Marawi,80,PH,1549258850,75.46,3.15,8,124.29,93
Teya,5,MX,1549255500,73.4,9.17,21.05,-89.07,78
Shushtar,0,IR,1549256400,48.2,2.24,32.05,48.86,93
Puerto Madryn,0,AR,1549258851,65.02,14,-42.77,-65.04,86
Makakilo City,1,US,1549256220,73.94,8.05,21.35,-158.09,71
Poum,92,MK,1549258852,39.05,2.37,41.28,20.71,84
Orgtrud,92,RU,1549258852,32.3,6.62,56.18,40.61,98
Zhuanghe,0,CN,1549258852,27.58,10.76,39.7,122.97,100
Faanui,92,PF,1549258853,82.97,9.75,-16.48,-151.75,100
Goderich,92,CA,1549258853,39.05,11.77,43.74,-81.71,100
Catuday,0,PH,1549258853,85.09,5.39,16.29,119.81,78
Yagodnoye,48,RU,1549258853,-12.57,2.15,62.52,149.63,71
Tabuk,36,PH,1549258854,76.36,1.7,17.41,121.44,70
Souillac,0,FR,1549256400,30.2,10.09,45.6,-0.6,92
Saldanha,0,PT,1549258854,21.37,2.71,41.42,-6.55,79
Nanortalik,0,GL,1549258855,20.02,6.51,60.14,-45.24,100
Klaksvik,8,FO,1549257600,35.6,11.41,62.23,-6.59,80
Wajima,75,JP,1549256400,37.4,5.82,37.4,136.9,74
Kirakira,80,SB,1549258856,82.75,14,-10.46,161.92,100
Markala,0,ML,1549258857,64.57,9.64,13.69,-6.07,40
Nantucket,1,US,1549256760,35.96,9.17,41.28,-70.1,92
Severo-Kurilsk,56,RU,1549258663,26.59,5.61,50.68,156.12,100
Pevek,24,RU,1549258608,-16.71,11.1,69.7,170.27,97
Telford,90,GB,1549257600,44.6,12.75,52.68,-2.45,93
Provideniya,90,RU,1549256400,28.4,11.18,64.42,-173.23,92
Aktanysh,44,RU,1549258859,4.27,13.56,55.72,54.06,81
Meulaboh,8,ID,1549258860,84.1,5.17,4.14,96.13,100
Furano,90,JP,1549256640,30.2,18.34,43.28,142.47,92
Wajid,0,SO,1549258860,76.63,13.56,3.81,43.25,54
Athens,1,US,1549257300,53.6,5.82,34.8,-86.97,97
Baykit,48,RU,1549258861,-30.52,3.49,61.68,96.39,49
Huanren,0,CN,1549258862,20.42,3.15,41.26,125.37,25
Fort Nelson,5,CA,1549256400,-23.81,3.36,58.81,-122.69,74
Maceio,40,BR,1549256400,75.2,2.24,-9.67,-35.74,94
Naze,32,NG,1549258867,74.2,4.16,5.43,7.07,96
Monte Azul,0,BR,1549258816,73.43,7.96,-15.15,-42.87,71
Iberia,80,PE,1549258871,70.69,2.04,-11.41,-69.49,96
Sabya,12,YE,1549258871,74.38,2.93,16.19,43.1,73
Broken Hill,48,AU,1549256400,95,13.87,-31.97,141.45,20
Yellowknife,40,CA,1549256400,-36.41,5.82,62.45,-114.38,65
Oneonta,88,US,1549258872,40.18,7.18,42.45,-75.06,97
Zhigansk,24,RU,1549258873,-33.09,7.07,66.77,123.37,59
Namibe,8,AO,1549258873,76.72,4.05,-15.19,12.15,100
Matara,36,PE,1549258873,43.15,1.7,-13.74,-72.9,89
Punta de Bombon,92,PE,1549258874,72.62,5.61,-17.17,-71.79,99
Summerside,90,CA,1549256400,12.2,6.93,46.39,-63.79,78
Vardo,1,US,1549257600,37.94,4.7,39.62,-77.74,75
Acajutla,0,SV,1549258875,69.43,4.05,13.59,-89.83,89
Turbat,92,PK,1549258875,64.07,11.77,26,63.05,80
Yangambi,12,CD,1549258875,77.08,3.94,0.77,24.47,81
Comodoro Rivadavia,0,AR,1549256400,57.2,5.61,-45.87,-67.48,87
Dekar,24,BW,1549258305,66.77,5.39,-21.53,21.93,100
Kerema,0,PG,1549258657,93.5,3.71,-7.96,145.78,45
Soyo,75,AO,1549256400,77,3.71,-6.13,12.37,100
Nouadhibou,68,MR,1549256400,59,17.22,20.93,-17.03,82
Nelson Bay,0,AU,1549256400,93.2,12.75,-32.72,152.14,38
Pau,0,FR,1549256400,26.6,2.24,43.3,-0.37,86
Yabrud,0,SY,1549256400,35.6,9.17,33.97,36.66,69
Morondava,0,MG,1549258878,86.93,3.94,-20.3,44.28,80
Saint George,75,GR,1549255800,46.4,2.93,39.45,22.34,100
Pyay,0,MM,1549258879,86.44,8.41,18.82,95.22,59
Flinders,0,AU,1549256400,84.2,4.7,-34.58,150.85,62
Nome,90,US,1549257300,64.4,5.82,30.04,-94.42,94
Ribeira Grande,80,PT,1549258671,63.13,22.28,38.52,-28.7,95
Houston,90,US,1549257300,68,3.36,29.76,-95.37,100
Aklavik,90,CA,1549256400,-2.21,3.36,68.22,-135.01,64
Buta,64,CD,1549258881,73.43,3.04,2.79,24.73,92
Buraydah,0,SA,1549256400,50,5.82,26.33,43.97,81
Mizan Teferi,20,ET,1549258881,73.25,3.15,6.99,35.58,43
Saskylakh,68,RU,1549258617,-10.5,16.24,71.97,114.09,72
Phetchabun,0,TH,1549256400,89.6,3.36,16.42,101.16,43
Svetlogorsk,90,RU,1549256400,3.2,2.24,53.14,59.15,84
Chokurdakh,20,RU,1549258592,-32.91,10.2,70.62,147.9,58
Russellville,90,US,1549257300,62.96,4.7,35.28,-93.13,80
Muros,40,ES,1549256400,37.4,5.82,42.77,-9.06,95
Luebo,20,CD,1549258883,76.22,2.71,-5.35,21.42,93
Port Hardy,90,CA,1549256400,24.8,14.99,50.7,-127.42,58
Jinzhou,0,CN,1549258884,29.2,17.02,41.11,121.12,42
Hofn,88,IS,1549258885,31.72,7.96,64.25,-15.21,100
Vanimo,76,PG,1549258885,81.04,13.67,-2.67,141.3,100
Hwange,0,ZW,1549258885,78.07,4.72,-18.35,26.5,51
Komsomolskiy,0,RU,1549258886,-35.16,3.04,67.55,63.78,0
Yekepa,12,LR,1549258886,68.12,3.6,7.58,-8.54,96
Paamiut,0,GL,1549258886,26.27,20.27,61.99,-49.67,100
Puerto Ayora,24,EC,1549258593,78.34,4.94,-0.74,-90.35,100
Sioux Lookout,90,CA,1549256400,-0.41,5.82,50.1,-91.92,84
Ust-Barguzin,24,RU,1549258887,-15.67,3.49,53.41,109.03,64
Rondonopolis,8,BR,1549258887,72.98,2.59,-16.46,-54.64,82
Jalu,64,LY,1549258888,54.04,13.11,29.03,21.55,33
Helong,20,CN,1549258888,64.75,3.38,25.94,116.13,78
Maragogi,80,BR,1549258314,76.13,4.16,-9.01,-35.22,100
Port Macquarie,0,AU,1549256400,89.6,19.46,-31.43,152.91,52
Ous,32,RU,1549258889,-19.45,5.5,60.91,61.52,58
Port-Cartier,90,CA,1549256400,6.8,8.05,50.03,-66.88,65
Najran,5,SA,1549256400,59,6.93,17.54,44.22,77
Valer,8,ES,1549258890,21.5,3.38,41.76,-6.18,69
Barreiras,36,BR,1549258890,70.42,2.71,-12.14,-45,92
Tateyama,75,JP,1549256400,44.6,9.17,36.66,137.31,75
Urucara,92,BR,1549258891,77.71,2.15,-2.54,-57.76,90
Rolla,1,US,1549255980,57.02,17.22,37.95,-91.77,71
Cherskiy,0,RU,1549258637,-19.41,6.06,68.75,161.3,56
Erie,90,US,1549256160,51.08,12.75,42.13,-80.09,60
Columbia,1,US,1549257960,46.04,3.36,34,-81.03,100
Tilichiki,80,RU,1549258893,13.63,3.71,60.47,166.1,84
Grindavik,75,IS,1549258200,30.2,6.93,63.84,-22.43,92
Churapcha,76,RU,1549258894,-26.07,4.72,62,132.43,39
Novo Aripuana,36,BR,1549258832,75.95,3.6,-5.12,-60.38,95
