City,Cloudiness,Country,Date,Max Temp,Wind Speed,Lat,Lng,Humidity
La Ronge,90,CA,1549256400,-31.01,2.59,55.1,-105.3,73
Fairbanks,90,US,1549256280,9.32,4.61,64.84,-147.72,87
San Policarpo,20,PH,1549258895,80.63,15.46,12.18,125.51,88
Palestine,90,US,1549258500,66.92,8.05,31.76,-95.63,92
Majene,20,ID,1549258896,83.6,19.6,-3.54,118.97,96
Jiwani,88,PK,1549258896,67.81,12.44,25.05,61.74,94
Great Falls,90,US,1549257240,-9.94,8.05,47.5,-111.29,77
Cabra,0,ES,1549256400,33.8,4.7,37.47,-4.43,80
Simbahan,12,PH,1549258897,81.4,14.23,6.3,120.58,98
San Jose,12,PH,1549258896,78.16,4.38,15.79,120.99,82
Segou,0,SN,1549258899,63.8,2.71,12.41,-12.29,73
Sorland,40,NO,1549255800,28.4,11.41,67.67,12.69,58
Promyshlennyy,0,RU,1549258899,-35.79,3.04,67.58,63.92,0
Inirida,0,CO,1549258899,72.08,1.92,3.87,-67.92,96
Leiyang,92,CN,1549258900,46.88,5.61,26.42,112.85,100
Thinadhoo,32,MV,1549258900,83.29,15.12,0.53,72.93,99
Ostrovnoy,48,RU,1549258900,-6.9,12.55,68.05,39.51,90
Griffith,24,AU,1549256400,100.4,12.75,-34.29,146.06,19
Tiksi,20,RU,1549258901,-33.4,3.38,71.64,128.87,59
Rapid Valley,75,US,1549258680,17.96,13.87,44.06,-103.15,78
Pozo Colorado,88,PY,1549258902,77.12,10.2,-23.49,-58.8,77
Miedzyrzec Podlaski,80,PL,1549258902,33.92,15.79,51.99,22.78,98
Nautla,36,MX,1549258902,74.6,11.99,20.22,-96.78,99
Haines Junction,68,CA,1549258903,-20.98,1.36,60.75,-137.51,81
Half Moon Bay,75,US,1549257300,53.96,6.93,37.46,-122.43,71
Nova Borova,68,UA,1549258904,35.14,9.53,50.69,28.64,93
Garden City,1,US,1549257420,42.98,2.93,40.73,-73.63,77
Fortuna,0,ES,1549256400,46.4,19.46,38.18,-1.13,42
Inverell,0,AU,1549258907,83.11,7.07,-29.78,151.11,40
Prince Rupert,1,CA,1549256400,19.4,10.29,54.32,-130.32,37
Daru,20,SL,1549258908,72.53,4.38,7.99,-10.85,89
Ilebo,88,CD,1549258908,75.46,2.93,-4.33,20.59,98
Tual,36,ID,1549258908,83.6,17.69,-5.67,132.75,99
Fethiye,20,TR,1549257600,41,8.05,36.62,29.12,100
Cabo San Lucas,40,MX,1549255200,68,7.74,22.89,-109.91,82
Salem,90,US,1549256160,39.92,8.05,44.94,-123.03,82
Geraldton,90,CA,1549256400,-2.21,9.17,49.72,-86.95,70
Sao Joao da Barra,88,BR,1549258829,79.51,2.48,-21.64,-41.05,100
Alekseyevsk,20,RU,1549258911,-25.62,3.49,57.84,108.35,38
Okhotsk,56,RU,1549258596,9.35,3.15,59.36,143.24,97
Winslow,92,GB,1549256160,44.6,14.99,51.94,-0.88,87
Camacha,40,PT,1549256400,59,13.87,33.08,-16.33,62
Knokke-Heist,88,BE,1549257900,35.6,20.8,51.33,3.33,100
Dunmore Town,0,BS,1549258912,74.2,13.22,25.5,-76.65,100
Srednekolymsk,32,RU,1549258913,-19.86,2.59,67.46,153.71,57
San Patricio,0,PY,1549258913,70.69,5.61,-26.98,-56.83,86
Villa Carlos Paz,75,AR,1549256400,59,5.82,-31.42,-64.5,93
Lorengau,88,PG,1549258914,78.88,10.42,-2.02,147.27,100
Hithadhoo,0,MV,1549258628,84.68,13,-0.6,73.08,97
Khromtau,0,KZ,1549258914,1.84,3.71,50.26,58.44,58
Sistranda,20,NO,1549257600,24.8,16.11,63.73,8.83,92
Kayes,0,ML,1549258915,63.98,6.62,14.44,-11.44,57
Rome,0,IT,1549257600,42.8,8.05,41.89,12.48,93
Obihiro,75,JP,1549256400,35.6,23.04,42.92,143.2,64
Manggar,100,ID,1549258916,78.92,10.65,-2.88,108.27,100
Saint-Pierre,44,FR,1549256400,26.6,5.82,48.95,4.24,92
Semnan,90,IR,1549256400,41,2.24,35.58,53.39,65
Kuito,80,AO,1549258917,62.77,3.71,-12.38,16.94,92
Barra do Garcas,8,BR,1549258805,71.45,4.05,-15.89,-52.26,87
Athabasca,76,CA,1549258917,-16.08,3.38,54.72,-113.29,67
Verkhovyna,8,UA,1549258918,37.93,3.38,48.15,24.83,92
Seoul,0,KR,1549256400,39.2,8.05,37.57,126.98,22
Wanaka,12,NZ,1549258918,71,3.49,-44.7,169.14,40
Wuwei,0,CN,1549258919,30.05,4.38,37.93,102.64,70
East Moline,1,US,1549256280,46.04,10.29,41.52,-90.44,89
Silver City,90,US,1549257300,45.5,8.05,32.77,-108.28,92
Labuhan,80,ID,1549258645,81.31,3.04,-2.54,115.51,84
Vila Velha,40,BR,1549256400,80.6,3.36,-3.71,-38.6,88
Kyabram,20,AU,1549258920,85.22,11.77,-36.31,145.05,57
Raudeberg,75,NO,1549257600,35.6,19.46,61.99,5.14,80
Putina,8,PE,1549258921,22.85,3.04,-14.91,-69.87,73
Minador do Negrao,36,BR,1549258921,71.5,4.5,-9.31,-36.86,96
Rosrath,0,DE,1549257600,30.2,4.7,50.9,7.18,86
Katangli,88,RU,1549258922,13.27,13,51.71,143.23,100
Namatanai,64,PG,1549258923,80.41,9.42,-3.66,152.44,100
Trelew,0,AR,1549258791,67.54,11.99,-43.25,-65.31,47
Tocopilla,64,CL,1549258923,65.56,0.36,-22.09,-70.2,96
Port Hedland,40,AU,1549256400,91.4,10.29,-20.31,118.58,63
Hamilton,75,BM,1549256100,60.8,5.82,32.3,-64.78,72
Olavarria,0,AR,1549258824,50.89,2.59,-36.89,-60.32,83
Abay,0,KZ,1549256400,-2.21,4.47,49.63,72.87,70
Dubbo,0,AU,1549256400,96.8,4.7,-32.25,148.6,22
Buckingham,92,GB,1549257600,44.6,14.99,52,-0.98,100
Kalanguy,0,RU,1549258926,-13.6,9.08,51.01,116.52,57
Gillette,90,US,1549255980,1.04,11.41,44.29,-105.5,82
Bandarbeyla,0,SO,1549258927,77.53,14,9.49,50.81,100
Omboue,76,GA,1549258927,80,7.4,-1.57,9.26,100
Tyukod,20,HU,1549256400,39.2,9.17,47.85,22.55,100
Faya,0,SA,1549256400,57.2,3.94,18.39,42.45,62
Gazli,68,UZ,1549258928,47.33,13.22,40.13,63.45,80
Riyadh,0,SA,1549256400,50,3.36,24.63,46.72,57
Forbes,64,AU,1549258928,91.07,4.38,-33.38,148.01,46
Sinnamary,92,GF,1549258929,79.78,14,5.38,-52.96,94
Sembabule,20,UG,1549258929,71.9,4.05,-0.08,31.46,52
Noumea,75,NC,1549256400,87.8,18.34,-22.28,166.46,58
Sao Filipe,76,CV,1549258664,70.15,15.23,14.9,-24.5,100
Atikokan,92,CA,1549258930,9.62,7.4,48.76,-91.62,73
Puerto Carreno,32,CO,1549258930,71.14,2.71,6.19,-67.49,90
Vila Franca do Campo,75,PT,1549256400,62.6,10.29,37.72,-25.43,82
Mehamn,0,NO,1549257600,15.8,17.22,71.03,27.85,72
Puerto Escondido,0,MX,1549258931,81.4,8.19,15.86,-97.07,100
Pontianak,40,ID,1549256400,87.8,5.82,-0.02,109.34,66
Kitui,0,KE,1549258932,75.55,4.05,-1.37,38.02,53
Nara,75,JP,1549256940,55.4,10.29,34.68,135.8,54
Ketchikan,1,US,1549255980,21.2,8.05,55.34,-131.65,48
Maumere,48,ID,1549258933,82.21,15.01,-8.63,122.22,98
Aquiraz,40,BR,1549256400,80.6,3.36,-3.9,-38.39,88
Barra Patuca,92,HN,1549258934,79.24,10.54,15.8,-84.28,86
Charters Towers,92,AU,1549258934,73.52,14.67,-20.07,146.27,100
Fare,88,PF,1549258934,82.7,11.1,-16.7,-151.02,100
Murmashi,0,RU,1549256400,-27.41,2.24,68.82,32.82,60
Coihaique,0,CL,1549256400,60.8,1.7,-45.58,-72.07,82
Vestmannaeyjar,12,IS,1549258616,24.7,6.73,63.44,-20.27,100
Sokoni,0,CD,1549258936,67.85,3.71,-12.89,28.78,95
Ahipara,32,NZ,1549258643,74.87,11.21,-35.17,173.16,70
Belaya Gora,48,RU,1549258937,-33.22,4.72,68.54,146.19,59
Onverwacht,40,SR,1549256400,75.2,5.82,5.59,-55.2,94
Sambava,36,MG,1549258938,81.8,9.53,-14.27,50.17,100
Storslett,0,NO,1549257600,12.2,26.4,69.77,21.03,61
Torbay,90,CA,1549256400,10.4,23.04,47.66,-52.73,66
Egvekinot,88,RU,1549258939,12.91,2.37,66.32,-179.17,85
South Lake Tahoe,20,US,1549258200,39.02,10.29,38.93,-119.98,100
Touros,40,BR,1549256400,77,3.36,-5.2,-35.46,94
Kirkwall,32,GB,1549257600,39.2,8.05,58.98,-2.96,86
Vila,0,IT,1549257600,37.4,4.7,45.18,8.4,44
Adrar,0,DZ,1549256400,39.2,6.93,27.87,-0.29,41
Samarai,44,PG,1549258941,88.1,15.01,-10.62,150.67,92
Nagai,75,JP,1549256400,39.2,11.41,38.14,139.98,86
Amberieu-en-Bugey,20,FR,1549257600,35.6,8.05,45.96,5.34,92
Atar,48,MR,1549258942,46.97,3.94,20.52,-13.05,60
Nadadores,36,MX,1549258942,53.72,3.04,27.03,-101.59,85
Svetlaya,0,RU,1549258943,14.03,26.08,46.54,138.33,100
Rajshahi,0,BD,1549258943,72.4,5.95,24.37,88.59,76
Pangnirtung,0,CA,1549258670,-6,5.5,66.15,-65.72,42
Victor Harbor,20,AU,1549256400,78.8,17.22,-35.55,138.62,39
Zhangye,0,CN,1549258944,25.28,3.38,38.94,100.46,91
Concepcion,0,CO,1549258944,74.87,1.92,9.56,-73.66,64
Tikhvin,92,RU,1549258945,33.52,5.39,59.64,33.53,97
Monte Carmelo,36,BR,1549258945,68.93,2.93,-18.73,-47.5,82
Zalantun,20,CN,1549258945,5.12,6.06,48,122.72,25
Kralendijk,8,BQ,1549256100,77,13.87,12.15,-68.27,78
Bjornevatn,0,NO,1549257600,10.4,13.87,69.67,29.98,75
Boyolangu,36,ID,1549258946,85.36,3.94,-8.09,111.9,78
Durazno,0,UY,1549258946,58.72,7.18,-33.38,-56.52,78
Saint-Michel-des-Saints,88,CA,1549258749,13.63,2.48,46.68,-73.92,88
Ryki,90,PL,1549258200,33.8,21.92,51.63,21.94,97
Thunder Bay,90,CA,1549256400,6.8,5.82,48.41,-89.26,84
Robore,12,BO,1549258948,73.84,11.1,-18.33,-59.76,81
Sobolevo,92,RU,1549258948,35.63,12.44,54.43,31.9,96
Chivay,92,PE,1549258949,36.04,2.71,-15.64,-71.6,100
Suez,0,EG,1549258949,43.37,2.48,29.97,32.54,71
Koshki,92,RU,1549258949,14.53,3.94,54.2,50.47,90
Niamey,0,NE,1549256400,69.8,2.24,13.52,2.11,21
Fossano,0,IT,1549258950,11.92,2.15,44.55,7.72,76
Orlik,24,RU,1549258951,-20.22,3.71,52.51,99.83,46
Sechura,76,PE,1549258951,74.92,7.74,-5.56,-80.82,81
Gat,68,SN,1549256400,62.6,19.46,14.69,-16.54,82
Umm Kaddadah,0,SD,1549258952,62.9,3.94,13.6,26.69,34
Emba,0,CY,1549256400,57.2,6.93,34.81,32.42,65
Savelugu,64,GH,1549258952,73.03,2.48,9.63,-0.83,91
Salalah,75,OM,1549255800,75.2,3.36,17.01,54.1,64
Guerrero Negro,100,MX,1549258953,58.09,5.17,27.97,-114.04,100
Kailua,90,US,1549256220,73.94,10.29,21.39,-157.74,73
Gushikawa,90,JP,1549256400,69.8,11.41,26.35,127.87,79
Gourdon,8,FR,1549256400,24.8,2.24,44.74,1.38,92
Yar-Sale,56,RU,1549258954,-17.38,13.22,66.83,70.83,79
Tecoanapa,5,MX,1549255860,77,3.04,16.99,-99.26,78
Leshukonskoye,56,RU,1549258955,-3.66,8.08,64.9,45.76,66
Roald,75,NO,1549257600,33.8,13.87,62.58,6.12,59
Torbat-e Jam,92,IR,1549258955,35.23,4.05,35.24,60.63,100
Mount Gambier,90,AU,1549256400,69.8,20.8,-37.83,140.78,60
Yabelo,0,ET,1549258956,71.95,4.94,4.89,38.09,36
Ambilobe,36,MG,1549258956,79.42,4.38,-13.19,49.05,100
Boa Vista,0,BR,1549256400,82.4,11.41,2.82,-60.67,65
Dunedin,0,NZ,1549258958,69.97,4.72,-45.87,170.5,62
Avera,1,US,1549256100,51.08,2.48,33.19,-82.53,99
Letnyaya Stavka,68,RU,1549258958,29.56,9.53,45.43,43.44,89
The Valley,20,AI,1549256400,77,10.29,18.22,-63.06,73
Uvira,8,CD,1549258959,68.71,2.04,-3.41,29.14,94
Boende,64,CD,1549258959,71.41,3.94,-0.28,20.88,97
Paramirim,12,BR,1549258959,66.19,4.94,-13.44,-42.24,86
Kinsale,75,IE,1549258200,44.6,14.99,51.71,-8.52,93
Deer Lake,40,CA,1549256400,8.6,8.05,49.18,-57.43,71
Peniche,0,PT,1549256400,37.4,2.24,39.36,-9.38,100
Mananjary,0,MG,1549258961,70.06,3.71,-19.16,46.8,92
Harper,75,US,1549258500,60.08,9.42,30.3,-99.24,89
Whitianga,0,NZ,1549258961,70.73,7.74,-36.83,175.7,100
Kenora,90,CA,1549258500,1.4,16.11,49.76,-94.48,84
Mangrol,0,IN,1549258963,70.78,4.61,25.33,76.51,67
Florianopolis,75,BR,1549256400,69.8,6.93,-27.6,-48.55,83
Poso,32,ID,1549258964,81.58,3.94,-1.4,120.75,100
Saint-Georges,92,CA,1549258964,25.78,5.95,46.12,-70.67,90
Carnduff,80,CA,1549258965,-8.7,8.41,49.17,-101.8,77
Yumen,0,CN,1549258965,24.07,16.69,40.29,97.04,77
Xingyi,0,CN,1549258965,63.67,8.52,24.19,102.82,48
Sabang,0,PH,1549258966,81.17,12.21,13.72,123.58,84
Miandoab,20,IR,1549256400,30.2,9.17,36.97,46.1,63
Kaoma,0,ZM,1549258966,70.28,4.61,-14.8,24.8,90
Atyrau,75,KZ,1549256400,6.8,4.47,47.1,51.92,92
Kasongo-Lunda,92,CD,1549258967,71.95,2.71,-6.48,16.82,95
Valley Station,1,US,1549258500,57.92,5.5,33.35,-86.77,100
Pizarro,64,CO,1549258968,78.2,3.04,4.95,-77.37,95
Zyryanskoye,0,RU,1549258968,-37.72,3.15,56.83,86.62,77
Turbana,0,CO,1549256400,78.8,12.75,10.27,-75.44,83
Takoradi,0,GH,1549258969,79.96,6.17,4.89,-1.75,100
Aitape,92,PG,1549258969,81.22,11.43,-3.15,142.36,94
Bestobe,80,KZ,1549258969,-7.71,10.09,52.5,73.1,79
Sitka,0,US,1549258970,57.77,17.81,37.17,-99.65,35
Quatre Cocos,40,MU,1549256400,86,11.41,-20.21,57.76,79
Kimbe,92,PG,1549258970,77.75,7.63,-5.56,150.15,100
Ramhormoz,0,IR,1549256400,48.2,4.7,31.28,49.6,81
Nalut,88,LY,1549258971,41.62,14.23,31.86,10.98,75
Juneau,20,US,1549256160,12.92,3.36,58.3,-134.42,76
Coquimbo,90,CL,1549256400,60.8,4.7,-29.95,-71.34,93
Nhamunda,64,BR,1549258972,74.33,2.48,-2.19,-56.71,95
Verkhnevilyuysk,64,RU,1549258972,-27.1,7.07,63.45,120.31,42
Chernyshevskiy,48,RU,1549258973,-32.19,3.71,63.01,112.47,54
Tazovskiy,32,RU,1549258973,-11.4,11.99,67.47,78.7,58
Wabana,90,CA,1549256400,10.4,23.04,47.63,-52.95,66
Balkanabat,48,TM,1549258974,36.98,3.04,39.51,54.36,82
Royan,0,FR,1549256400,39.2,15.57,45.62,-1.03,92
Senai,75,MY,1549256400,91.4,8.05,1.59,103.65,66
Mitsamiouli,20,KM,1549256400,80.6,2.24,-11.38,43.28,83
Bhag,56,PK,1549258975,62.05,4.16,29.04,67.82,93
Taltal,64,CL,1549258975,60.2,1.14,-25.41,-70.49,96
Petropavlovsk-Kamchatskiy,0,RU,1549256400,28.4,8.95,53.05,158.65,46
Turbiv,90,UA,1549256400,39.2,6.71,49.34,28.73,100
Antofagasta,90,CL,1549256400,69.8,5.82,-23.65,-70.4,77
Hovd,75,NO,1549257600,24.8,6.93,63.83,10.7,79
Madimba,0,CM,1549258977,75.19,4.94,4.42,9.93,93
Madang,32,PG,1549258977,83.15,3.94,-5.21,145.81,89
Conakry,0,GN,1549252800,77,6.62,9.52,-13.7,83
Praya,75,ID,1549256400,87.8,12.75,-8.71,116.27,66
Saravan,0,AM,1549256400,26.6,2.24,39.72,45.65,86
Zeya,24,RU,1549258978,-16.62,3.04,53.74,127.27,46
Maniitsoq,44,GL,1549258978,12.37,7.74,65.42,-52.9,72
Maryborough,68,AU,1549258979,77.53,5.17,-25.54,152.7,74
Mamallapuram,40,IN,1549256400,84.2,8.05,12.63,80.17,70
Leningradskiy,68,RU,1549258980,-4.56,15.57,69.38,178.42,80
Morehead,1,US,1549258500,51.98,5.82,38.18,-83.43,66
Porto Novo,40,BR,1549256400,71.6,2.59,-23.68,-45.44,88
Ust-Omchug,44,RU,1549258980,-12.48,2.59,61.13,149.63,70
Salisbury,92,GB,1549256760,46.4,20.8,51.07,-1.8,93
Beaverlodge,40,CA,1549256400,-36.41,5.82,55.21,-119.43,65
Robertson,88,ZA,1549258981,59.57,2.59,-33.8,19.88,92
Kysyl-Syr,80,RU,1549258982,-26.43,6.17,63.9,122.77,40
Pasco,1,US,1549257300,39.02,3.15,46.24,-119.1,88
Saint-Francois,0,FR,1549256400,24.8,3.49,46.42,3.91,100
Gasa,0,BT,1549258983,9.31,4.05,27.91,89.73,80
Bubaque,0,GW,1549258983,75.28,11.43,11.28,-15.83,100
Cataguases,32,BR,1549258807,72.58,2.15,-21.39,-42.7,88
Phan Thiet,0,VN,1549258984,82.39,17.58,10.93,108.1,78
Ust-Ordynskiy,75,RU,1549258200,-13.01,8.95,52.8,104.75,69
Traralgon,24,AU,1549258985,72.31,2.93,-38.19,146.54,69
Laguna,0,MX,1549258985,60.34,1.7,27.52,-110.01,76
Sinazongwe,36,ZM,1549258985,80.72,2.04,-17.26,27.46,72
Astana,0,KZ,1549256400,-4.01,11.18,51.13,71.43,83
Pokhara,0,NP,1549258986,60.38,2.59,28.21,83.99,52
Shingu,20,JP,1549256400,59,19.46,33.72,135.99,54
Santa Cruz de Tenerife,0,ES,1549258200,60.8,6.93,28.47,-16.25,87
San Andres,8,PH,1549258987,80,13.67,13.32,122.68,95
Biak,44,ID,1549258987,86.75,6.73,-0.91,122.88,75
Eydhafushi,92,MV,1549258988,82.57,20.27,5.1,73.07,99
Rayadrug,0,IN,1549258988,79.55,9.98,14.7,76.87,58
Mokhsogollokh,64,RU,1549258988,-26.02,5.95,61.4,128.95,39
Sakaiminato,75,JP,1549256400,48.2,13.87,35.55,133.23,45
Palmas,40,BR,1549252800,71.6,3.36,-10.18,-48.33,94
Yulara,0,AU,1549256400,104,13.87,-25.24,130.99,13
Capaci,20,IT,1549257600,46.4,5.82,38.17,13.24,75
Ewa Beach,1,US,1549256220,73.94,8.05,21.32,-158.01,71
Russell,75,AR,1549256400,66.2,5.82,-33.01,-68.8,93
Santona,0,ES,1549256400,35.6,1.12,43.44,-3.46,100
Aras,0,YE,1549258992,59.48,3.15,14.28,44.38,52
Cabedelo,40,BR,1549256400,75.2,4.7,-6.97,-34.84,100
